target_id,repo,manual_test_methods,held_out_methods,repeat,held_out_names,floor_target_id,human_token_jaccard,human_codebleu,human_closeness_score,human_assertion_conformance,human_naming_style_conformance,human_naming_clarity,human_naming_conformance,human_fixture_reuse,human_import_conformance,human_conformance_score,floor_token_jaccard,floor_codebleu,floor_closeness_score,floor_assertion_conformance,floor_naming_style_conformance,floor_naming_clarity,floor_naming_conformance,floor_fixture_reuse,floor_import_conformance,floor_conformance_score
T05_AsyncClientClass,aws/aws-sdk-java-v2,13,5,4,asyncClientWithCustomContextParams;asyncClientClassXml;asyncClientClassCbor;asyncClientClassAwsJson;asyncClientCustomServiceMetaData,T08_DefaultExporterResourceProvider,0.8,0.7951830567838735,0.7975915283919368,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,0.9642857142857143,0.12698412698412698,0.24601168117123745,0.18649790407768221,0.0,0.0,1.0,0.5,0.0,0.0,0.125
T05_AsyncClientClass,aws/aws-sdk-java-v2,13,5,5,asyncClientClassQuery;asyncClientCustomPackageName;asyncClientClassCbor;asyncClientClassRpcv2;asyncClientBatchManager,T08_DefaultExporterResourceProvider,0.8,0.8009769578434737,0.8004884789217368,1.0,1.0,0.95,0.975,0.8571428571428571,1.0,0.9580357142857143,0.10810810810810811,0.19890292996397604,0.1535055190360421,0.0,0.0,0.95,0.475,0.0,0.0,0.11875
T05_AsyncClientClass,aws/aws-sdk-java-v2,13,5,6,asyncClientEndpointDiscovery;asyncClientWithStreamingUnsignedPayload;asyncClientBatchManager;asyncClientClassRpcv2;asyncClientClassXml,T08_DefaultExporterResourceProvider,0.8,0.8017821973609146,0.8008910986804574,1.0,1.0,0.95,0.975,0.8571428571428571,1.0,0.9580357142857143,0.1085972850678733,0.19838425776480592,0.1534907714163396,0.0,0.0,0.95,0.475,0.0,0.0,0.11875
T05_AsyncClientClass,aws/aws-sdk-java-v2,13,5,7,asyncClientClassQuery;asyncClientClassXml;asyncClientCustomServiceMetaData;asyncClientClassAwsQueryCompatibleJson;asyncClientWithCustomContextParams,T08_DefaultExporterResourceProvider,0.8,0.7982812665696889,0.7991406332848445,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,0.9642857142857143,0.12698412698412698,0.25762560214716834,0.19230486456564766,0.0,0.0,1.0,0.5,0.0,0.0,0.125
T05_AsyncClientClass,aws/aws-sdk-java-v2,13,5,8,asyncClientWithStreamingUnsignedPayload;asyncClientClassAwsJson;asyncClientCustomPackageName;asyncClientClassAwsQueryCompatibleJson;asyncClientClassXml,T08_DefaultExporterResourceProvider,0.8,0.8021026293689523,0.8010513146844762,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,0.9642857142857143,0.12631578947368421,0.262157324201549,0.19423655683761662,0.0,0.0,1.0,0.5,0.0,0.0,0.125
T05_AsyncClientClass,aws/aws-sdk-java-v2,13,5,9,asyncClientBatchManager;asyncClientClassAwsJson;asyncClientWithCustomContextParams;asyncClientClassRpcv2;asyncClientClassRestJson,T08_DefaultExporterResourceProvider,0.8,0.8021026293689523,0.8010513146844762,1.0,1.0,0.95,0.975,0.8571428571428571,1.0,0.9580357142857143,0.1085972850678733,0.19838425776480592,0.1534907714163396,0.0,0.0,0.95,0.475,0.0,0.0,0.11875
T06_SyncClientClass,aws/aws-sdk-java-v2,11,5,0,syncClientClassXml;syncClientClassRestJson;syncClientClassAwsQueryCompatibleJson;syncClientClassCbor;syncClientCustomServiceMetaData,T08_DefaultExporterResourceProvider,0.855072463768116,0.8556246319029597,0.8553485478355378,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,0.9642857142857143,0.12371134020618557,0.24699280162400672,0.18535207091509615,0.0,0.0,1.0,0.5,0.0,0.0,0.125
T06_SyncClientClass,aws/aws-sdk-java-v2,11,5,1,syncClientWithCustomContextParams;syncClientClassQuery;syncClientClassRpcV2;syncClientEndpointDiscovery;syncClientCustomPackageName,T08_DefaultExporterResourceProvider,0.855072463768116,0.8539728654331554,0.8545226646006356,1.0,1.0,0.95,0.975,0.8571428571428571,1.0,0.9580357142857143,0.12307692307692308,0.24699280162400672,0.1850348623504649,0.0,0.0,0.95,0.475,0.0,0.0,0.11875
T06_SyncClientClass,aws/aws-sdk-java-v2,11,5,2,syncClientWithCustomContextParams;syncClientClassAwsQueryCompatibleJson;syncClientClassXml;syncClientCustomServiceMetaData;syncClientClassRpcV2,T08_DefaultExporterResourceProvider,0.8405797101449275,0.854736451220569,0.8476580806827483,1.0,1.0,0.95,0.975,0.8571428571428571,1.0,0.9580357142857143,0.12903225806451613,0.2572042246487596,0.19311824135663785,0.0,0.0,0.95,0.475,0.0,0.0,0.11875
T06_SyncClientClass,aws/aws-sdk-java-v2,11,5,3,syncClientEndpointDiscovery;syncClientClassQuery;syncClientCustomServiceMetaData;syncClientCustomPackageName;syncClientClassAwsQueryCompatibleJson,T08_DefaultExporterResourceProvider,0.855072463768116,0.8582538401934438,0.8566631519807799,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,0.9642857142857143,0.12698412698412698,0.2563485874959572,0.19166635724004208,0.0,0.0,1.0,0.5,0.0,0.0,0.125
